City,Province,2020 Census[16],2010 Census[17],% change,source
Pingdingshan,Henan,1045966,813020,+28.65%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Jinhua,Zhejiang,1040948,710597,+46.49%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Zhaoqing,Guangdong,1035810,784642,+32.01%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Shangqiu,Henan,1031123,618549,+66.70%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Qiqihar,Heilongjiang,1029522,1033174,−0.35%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Jinzhou,Liaoning,1021478,946098,+7.97%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Liaocheng,Shandong,1020430,606366,+68.29%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Xinyang,Henan,1014843,625302,+62.30%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Yuyao,Zhejiang,1013866,672909,+50.67%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Rui'an,Zhejiang,1012731,927383,+9.20%,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
