city_name_en,province_en,population_2020,population_2010,population_change_percent,source
Huainan,Anhui,1255619.0,1238488.0,1.38,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Nanchong,Sichuan,1254455.0,890402.0,40.89,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Chaozhou,Guangdong,1254007.0,1256268.0,0.18,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Jieyang,Guangdong,1242906.0,1226848.0,1.31,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Changshu,Jiangsu,1230599.0,929124.0,32.45,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Fushun,Liaoning,1228890.0,1318808.0,6.82,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Qingyuan,Guangdong,1197581.0,916453.0,30.68,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Kaifeng,Henan,1193802.0,894142.0,33.51,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Xianyang,Shaanxi,1192776.0,730704.0,63.24,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Fuyang,Anhui,1191810.0,780522.0,52.69,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Jiaxing,Zhejiang,1188321.0,762643.0,55.82,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Anyang,Henan,1187772.0,908129.0,30.79,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Hengyang,Hunan,1185130.0,1055964.0,12.23,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Rizhao,Shandong,1147175.0,902272.0,27.14,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Dazhou,Sichuan,1135817.0,678690.0,67.35,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Luzhou,Sichuan,1128479.0,742274.0,52.03,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Yueyang,Hunan,1125448.0,924099.0,21.79,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Zhenjiang,Jiangsu,1123813.0,950516.0,18.23,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Baoji,Shaanxi,1107702.0,871940.0,27.04,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Yibin,Sichuan,1100737.0,708447.0,55.37,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Changde,Hunan,1100719.0,846308.0,30.06,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Chifeng,Inner Mongolia,1093068.0,902285.0,21.14,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Huzhou,Zhejiang,1083953.0,748471.0,44.82,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Suqian,Jiangsu,1081559.0,783376.0,38.06,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Wanzhou District,Chongqing municipality,1078149.0,859662.0,25.42,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Bengbu,Anhui,1077704.0,793866.0,35.75,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Lianyungang,Jiangsu,1071019.0,897393.0,19.35,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Lu'an,Anhui,1069940.0,661217.0,61.81,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Zhangjiagang,Jiangsu,1055893.0,762625.0,38.46,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Changzhi,Shanxi,1047461.0,848227.0,23.49,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Pingdingshan,Henan,1045966.0,813020.0,28.65,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Jinhua,Zhejiang,1040948.0,710597.0,46.49,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Zhaoqing,Guangdong,1035810.0,784642.0,32.01,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Shangqiu,Henan,1031123.0,618549.0,66.7,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Qiqihar,Heilongjiang,1029522.0,1033174.0,0.35,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Jinzhou,Liaoning,1021478.0,946098.0,7.97,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Liaocheng,Shandong,1020430.0,606366.0,68.29,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Xinyang,Henan,1014843.0,625302.0,62.3,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Yuyao,Zhejiang,1013866.0,672909.0,50.67,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Rui'an,Zhejiang,1012731.0,927383.0,9.2,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
